Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
11,6,Summer,Belconnen,57.20448636363638,221.03478939393943,31.849999999999998,159.03181818181818,9,91,62.00297121212125,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,Nth CBR & City,34.13350696969698,230.6668403030303,11.549999999999999,156.1560606060606,3,33,74.5107796969697,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,CBR East,0.7170813131313133,47.18980858585859,3.8499999999999996,22.062121212121212,1,11,25.12768737373738,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,South CBR,16.259692727272732,129.98090484848487,7.699999999999999,110.7,2,22,19.280904848484866,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,Tugg,43.825008787878794,232.2977360606061,15.749999999999998,154.20454545454547,3,45,78.09319060606063,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,Gungahlin,41.50574101010102,123.5784682828283,11.549999999999999,81.06515151515151,3,33,42.513316767676784,850.2878787878788,0.8354138962195088,167.51644866666686
11,6,Summer,Woden Valley,47.72090727272728,146.1451496969697,33.25,124.49242424242425,9,95,21.652725454545447,850.2878787878788,0.8354138962195088,167.51644866666686
12,6,Winter,Belconnen,59.68475333333335,242.68475333333333,35.349999999999994,180.01666666666665,10,101,62.66808666666668,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,Nth CBR & City,35.755720000000004,276.82238666666666,12.6,155.6,3,36,121.22238666666667,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,CBR East,0.7385155555555557,47.53851555555556,4.199999999999999,23.2,1,12,24.338515555555563,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,South CBR,16.882506666666668,130.61584,8.399999999999999,111.73333333333332,2,24,18.88250666666667,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,Tugg,45.31090666666667,263.7109066666667,16.799999999999997,167.13333333333333,3,48,96.57757333333336,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,Gungahlin,42.97301555555556,134.1063488888889,12.6,84.93333333333332,3,36,49.17301555555558,866.6666666666667,0.7625095610267355,269.93110333333357
12,6,Winter,Woden Valley,50.274326666666674,167.40766000000002,36.05,141.38333333333333,8,103,26.024326666666695,866.6666666666667,0.7625095610267355,269.93110333333357
13,7,Summer,Belconnen,62.20142636363638,231.43779000000004,38.5,169.3181818181818,9,110,62.11960818181822,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,Nth CBR & City,37.40889363636364,239.80889363636365,13.649999999999999,160.37727272727273,3,39,79.43162090909092,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,CBR East,0.7597790909090911,47.887051818181824,4.55,23.004545454545454,1,13,24.88250636363637,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,South CBR,17.510332727272733,131.25578727272728,9.1,112.1,2,26,19.15578727272728,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,Tugg,46.797795454545465,237.92506818181818,17.849999999999998,157.39545454545453,3,51,80.52961363636365,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,Gungahlin,44.44512545454546,130.77239818181818,13.649999999999999,83.46818181818182,3,39,47.30421636363636,883.0454545454545,0.8351124370607431,174.35162800000035
13,7,Summer,Woden Valley,52.889567272727284,155.79865818181818,39.199999999999996,133.29090909090908,9,112,22.5077490909091,883.0454545454545,0.8351124370607431,174.35162800000035
14,7,Winter,Belconnen,64.75450545454547,253.3908690909091,42.0,190.96969696969697,10,120,62.42117212121212,899.4242424242425,0.7636297120787122,278.40347721212106
14,7,Winter,Nth CBR & City,39.093027878787886,286.6081793939394,14.7,161.15454545454543,3,42,125.45363393939397,899.4242424242425,0.7636297120787122,278.40347721212106
