Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
10,5,Winter,South CBR,102.9090909090909,2.4499999999999997,105.35909090909091,1,7,8.350000000000009,790.25,0.8901781636385607,97.49363636363637
10,5,Winter,Tugg,150.0909090909091,7.35,157.4409090909091,3,21,57.904545454545485,790.25,0.8901781636385607,97.49363636363637
10,5,Winter,Gungahlin,72.45454545454545,7.35,79.80454545454545,3,21,6.977272727272734,790.25,0.8901781636385607,97.49363636363637
10,5,Winter,Woden Valley,100.72727272727272,17.849999999999998,118.57727272727271,8,51,-6.159090909090892,790.25,0.8901781636385607,97.49363636363637
11,6,Summer,Belconnen,127.18181818181819,18.9,146.0818181818182,0,54,17.74848484848485,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,Nth CBR & City,144.6060606060606,4.8999999999999995,149.5060606060606,0,14,47.02727272727273,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,CBR East,18.21212121212121,2.4499999999999997,20.66212121212121,0,7,25.810606060606066,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,South CBR,103.0,2.4499999999999997,105.45,0,7,8.27121212121213,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,Tugg,138.45454545454547,7.35,145.80454545454546,0,21,42.668181818181836,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,Gungahlin,69.51515151515152,7.35,76.86515151515151,0,21,5.207575757575768,796.0378787878788,0.9943332364332281,4.536666666666747
11,6,Summer,Woden Valley,91.24242424242425,17.849999999999998,109.09242424242424,0,51,-10.668181818181822,796.0378787878788,0.9943332364332281,4.536666666666747
12,6,Winter,Belconnen,144.66666666666666,21.349999999999998,166.01666666666665,7,61,16.98333333333335,810.6666666666667,0.8907054592333781,99.47333333333324
12,6,Winter,Nth CBR & City,143.0,5.6,148.6,2,16,92.46666666666667,810.6666666666667,0.8907054592333781,99.47333333333324
12,6,Winter,CBR East,19.0,2.8,21.8,1,8,25.000000000000004,810.6666666666667,0.8907054592333781,99.47333333333324
12,6,Winter,South CBR,103.33333333333333,2.8,106.13333333333333,1,8,7.6000000000000085,810.6666666666667,0.8907054592333781,99.47333333333324
12,6,Winter,Tugg,150.33333333333334,8.399999999999999,158.73333333333335,3,24,59.66666666666666,810.6666666666667,0.8907054592333781,99.47333333333324
12,6,Winter,Gungahlin,72.33333333333333,8.399999999999999,80.73333333333332,3,24,10.40000000000002,810.6666666666667,0.8907054592333781,99.47333333333324
